 LUCES , NDVI , ZURBANA , AREA , TEMPERATURA , DENSIDAD 
63,0.28,0.48,0.42,31.37,13836
63,0.16,0.79,0.43,27.67,14711
63,0.16,0.79,0.39,27.67,14232
63,0.16,0.79,0.31,27.67,19817
63,0.28,0.48,0.66,31.37,5131
63,0.28,0.48,0.61,31.37,15257
63,0.15,0.6,0.31,28.97,19000
63,0.15,0.6,0.43,28.97,15904
63,0.15,0.6,0.33,28.97,14666
63,0.15,0.6,0.25,28.97,16593
63,0.15,0.6,0.24,28.97,15578
63,0.16,0.79,0.09,27.67,23114
63,0.16,0.79,0.15,27.67,21859
63,0.15,0.6,0.25,28.97,16809
63,0.15,0.6,0.29,28.97,13965
63,0.15,0.6,0.23,28.97,10197
63,0.16,0.79,0.29,27.67,16314
63,0.28,0.48,0.28,31.37,14173
63,0.28,0.48,0.62,31.37,6002
61,0.24,0.43,0.09,28.45,2536
63,0.21,0.55,0.47,29.96,6316
63,0.21,0.55,0.29,29.96,13151
63,0.21,0.55,0.41,29.96,8826
63,0.15,0.6,0.14,28.97,20351
63,0.15,0.6,0.2,28.97,18232
63,0.15,0.6,0.15,28.97,12129
63,0.16,0.79,0.2,27.67,15034
63,0.16,0.79,0.38,27.67,6875
63,0.21,0.55,0.12,29.96, -   
63,0.16,0.79,0.13,27.67,5824
61,0.39,0.43,3.51,24.88,53
47.5,0.24,0.18,0.93,28.31,2439
40,0.26,0.18,0.6,27.44,1487
50,0.26,0.18,0.53,27.33,2536
50,0.24,0.18,0.4,28.31,104
50,0.24,0.18,0.7,28.31,4621
40,0.24,0.18,0.94,28.31,2507
40,0.24,0.18,0.36,28.31,1365
22,0.27,0.12,1.16,27.63,2082
22,0.27,0.12,0.15,27.63,528
28,0.26,0.23,1.6,27.76,2034
45.5,0.26,0.23,2.36,27.76,1684
29,0.26,0.23,0.19,27.76,1720
40,0.26,0.16,1.63,27.82,1951
48,0.22,0.36,0.54,29.62,955
48,0.24,0.22,0.66,30.03,2070
21,0.23,0.22,0.51,30.57,800
18.4,0.25,0.13,1.13,30.63,1095
16,0.25,0.13,1.26,30.63,1406
51,0.23,0.22,0.77,28.09,6508
51,0.23,0.22,0.78,28.09,6774
54,0.24,0.44,0.72,28.63,7510
33.83,0.24,0.2,1.4,27.58,2303
58,0.24,0.2,1.08,27.58,5806
63,0.2,0.62,0.24,32.29,7280
63,0.2,0.62,0.83,32.29,7829
63,0.2,0.58,0.74,31.37,5693
63,0.16,0.61,0.42,31.32,16191
63,0.16,0.61,0.39,31.32,15903
63,0.2,0.62,0.42,32.29,15123
63,0.2,0.62,0.39,32.29,13267
63,0.2,0.58,0.57,31.37,7299
63,0.2,0.58,1.1,31.37,9597
63,0.2,0.62,0.76,32.29,9271
63,0.2,0.62,0.99,32.29,9911
63,0.2,0.62,0.6,32.29,7037
63,0.2,0.62,0.83,32.29,8434
63,0.2,0.58,0.68,31.37,2972
63,0.16,0.61,0.06,31.32,24871
63,0.2,0.62,0.55,32.29,22000
63,0.2,0.62,0.35,32.29,7399
63,0.2,0.62,0.49,32.29,5528
63,0.16,0.61,0.29,31.32,16862
63,0.2,0.62,0.38,32.29,16377
63,0.2,0.58,0.57,31.37,8737
63,0.2,0.58,0.63,31.37,13038
63,0.29,0.41,0.34,29.5,14500
63,0.19,0.62,0.64,32.05,7895
63,0.2,0.58,0.24,31.37,21529
63,0.2,0.62,0.33,32.29,14388
63,0.2,0.62,0.29,32.29,10317
63,0.2,0.58,0.62,31.37,5645
63,0.38,0.2,0.33,26.71,11804
63,0.2,0.62,0.29,32.29,13553
63,0.2,0.62,0.15,32.29,24406
63,0.2,0.58,0.18,31.37,23143
63,0.31,0.12,0.76,30.75,24740
63,0.22,0.49,0.82,31.25,13221
63,0.2,0.58,0.18,31.37, -   
47,0.41,0.15,0.91,23.81,3610
28,0.41,0.15,0.63,23.81,3602
57,0.23,0.6,0.55,31.71,5444
52,0.23,0.6,0.42,31.71,7616
52,0.23,0.6,0.97,31.71,2880
57,0.23,0.6,0.01,31.71,4494
52,0.23,0.6,0.21,31.71,1287
61,0.24,0.19,0.29,29.85,4742
61,0.24,0.19,0.28,29.85,3153
61,0.28,0.36,1.96,29.83,2824
58,0.24,0.19,1.44,29.85,2956
59.5,0.24,0.19,0.61,29.85,6038
61,0.31,0.36,0.72,29.95,2431
63,0.28,0.18,0.45,30.38,7734
63,0.28,0.18,0.4,30.38,4318
63,0.28,0.18,0.27,30.38,10472
63,0.28,0.18,0.57,30.38,2211
63,0.28,0.18,0.08,30.38,9235
63,0.26,0.12,0.63,31.36,5560
63,0.28,0.18,0.39,30.38,1033
63,0.21,0.44,0.82,30.97,4505
63,0.26,0.12,0.18,31.36,12219
63,0.26,0.12,0.23,31.36,12977
63,0.26,0.12,0.16,31.36,16673
63,0.26,0.12,0.45,31.36,19521
63,0.26,0.12,0.58,31.36,492
63,0.26,0.12,1.54,31.36,4365
63,0.26,0.12,1.4,31.36,10254
63,0.26,0.12,0.74,31.36,14669
63,0.26,0.12,0.65,31.36,14033
63,0.26,0.12,0.22,31.36,10551
63,0.39,0.12,0.9,28.84,3049
63,0.39,0.12,1.17,28.84,581
63,0.39,0.12,0.85,28.84,2184
63,0.39,0.12,0.17,28.84,15225
63,0.26,0.12,0.22,31.36,16577
63,0.27,0.44,0.6,30.92,5917
63,0.12,0.55,0.54,31.95,10945
63,0.12,0.55,0.24,31.95,16624
63,0.12,0.55,0.19,31.95,15694
63,0.12,0.55,0.36,31.95,15029
63,0.2,0.5,0.35,31.44,15375
63,0.27,0.44,0.27,30.92,16562
63,0.12,0.55,0.33,31.95,17636
63,0.12,0.55,0.61,31.95,12541
63,0.12,0.55,0.64,31.95,6423
63,0.2,0.56,1.86,31.75,2189
63,0.12,0.55,0.65,31.95,6915
63,0.24,0.51,1.72,31.3,1749
63,0.12,0.55,0.47,31.95,10595
63,0.12,0.55,0.37,31.95,8004
63,0.12,0.55,0.22,31.95,18405
63,0.12,0.55,0.17,31.95,13079
63,0.12,0.55,0.18,31.95,13945
63,0.12,0.55,0.19,31.95,18233
63,0.18,0.55,1.47,31.79,3139
63,0.12,0.55,0.38,31.95,12039
63,0.12,0.55,0.45,31.95,13228
63,0.12,0.55,0.33,31.95,9329
63,0.12,0.55,0.24,31.95,13855
63,0.27,0.44,0.64,30.92,16031
63,0.27,0.44,0.3,30.92,5993
63,0.12,0.55,0.09,31.95,16887
63,0.27,0.44,0.32,30.92,17770
63,0.27,0.44,0.6,30.92,4118
62,0.25,0.6,0.51,31.52,321
62,0.28,0.6,0.34,31.54,3402
62,0.23,0.6,0.36,31.71,2460
62,0.23,0.6,0.38,31.71,13899
61,0.32,0.34,1.14,29.77,6767
61,0.32,0.34,0.52,29.77,3862
61,0.29,0.48,0.23,30.16,5340
62,0.25,0.6,0.46,31.46,1378
62,0.25,0.6,0.56,31.46,7815
62,0.25,0.6,0.23,31.46,15080
54.43,0.24,0.39,1.32,29.99,3153
51,0.22,0.43,0.58,30.32,3445
62,0.22,0.43,1.89,30.32,3124
55.5,0.22,0.43,1.33,30.32,5438
62,0.22,0.43,0.95,30.32,1026
62,0.22,0.43,0.02,30.32,4356
61,0.27,0.44,0.97,30.92,4046
61.67,0.27,0.44,0.74,30.92,6336
57,0.36,0.14,0.59,29.76,1444
57,0.3,0.15,0.64,30.38,4239
57,0.36,0.14,0.46,29.76,4540
57,0.32,0.29,0.81,28.43,3855
57,0.28,0.44,0.61,27.11,763
61,0.23,0.47,1.2,31.4,4143
61,0.21,0.48,1.29,31.59,4295
61,0.21,0.48,0.17,31.59,3852
61,0.29,0.48,0.89,30.16,5332
61,0.29,0.48,0.32,30.16,5744
61,0.29,0.48,0.84,30.16,4724
57,0.25,0.36,1.84,29.76,3389
57,0.33,0.14,1.97,30.81,3144
57,0.22,0.43,0.12,30.32,218
54,0.29,0.24,0.64,28.6,5102
53,0.29,0.24,0.78,28.6,2541
62,0.28,0.16,0.5,30.64,1402
62,0.27,0.16,0.45,30.39,1189
62,0.23,0.36,1.47,31.02,2432
62,0.27,0.16,0.88,30.39,3360
62,0.27,0.16,1.09,30.39,1499
60,0.21,0.36,1.14,30.88,2914
60.91,0.2,0.49,2.54,31.34,1465
63,0.19,0.52,0.63,31.52,3378
63,0.17,0.56,0.64,30.49,13284
54,0.19,0.52,0.15,31.52,12361
63,0.19,0.52,0.33,31.52,22038
63,0.19,0.52,0.15,31.52,17077
63,0.19,0.52,1.23,31.52,6377
63,0.19,0.52,1.13,31.52,7335
63,0.19,0.52,0.56,31.52,14434
63,0.19,0.5,0.38,31,14766
63,0.14,0.62,0.27,29.98,22235
63,0.14,0.62,0.41,29.98,13475
62,0.22,0.47,1.06,31.32,17607
54,0.21,0.48,0.6,31.35,17012
54,0.19,0.52,0.89,31.52,9682
58,0.19,0.52,0.83,31.52,7170
54,0.19,0.52,0.46,31.52,18657
54,0.19,0.52,0.21,31.52,19601
54,0.23,0.45,0.32,31.18,19302
54,0.23,0.45,0.62,31.18,15839
63,0.19,0.52,1.22,31.52,3441
54,0.23,0.45,0.24,31.18,19699
61.25,0.19,0.52,0.91,31.44,6333
61.5,0.19,0.52,1.37,31.44,3431
61,0.19,0.52,0.83,31.44,7034
61.5,0.21,0.45,0.82,31.23,4332
61,0.27,0.16,0.89,30.39,1914
62,0.19,0.52,0.4,31.44,486
63,0.19,0.5,0.33,31,10992
63,0.19,0.5,0.59,31,7422
63,0.08,0.61,0.48,32.41,21590
63,0.08,0.61,0.44,32.41,21946
63,0.08,0.61,0.38,32.41,19728
63,0.08,0.61,0.69,32.41,17322
63,0.08,0.61,0.68,32.41,17180
63,0.19,0.5,0.5,31,9851
63,0.19,0.5,0.99,31,12241
63,0.1,0.59,1.18,32.18,12083
63,0.08,0.61,0.58,32.41,17323
63,0.08,0.61,0.78,32.41,16905
63,0.08,0.61,0.16,32.41,18377
63,0.08,0.61,0.22,32.41,22761
63,0.15,0.5,0.35,31.93,21333
63,0.19,0.5,0.22,31,20876
63,0.15,0.5,0.32,31.93,17025
63,0.15,0.5,0.3,31.93,20924
63,0.15,0.5,0.39,31.93,21678
63,0.17,0.5,0.35,31.46,19942
63,0.19,0.5,0.47,31,21515
63,0.08,0.61,0.52,32.41,21596
63,0.19,0.5,0.36,31,13198
63,0.12,0.58,0.61,31.94,11112
63,0.08,0.61,0.27,32.41,21045
63,0.08,0.61,0.39,32.41,16834
63,0.08,0.61,0.25,32.41,22248
63,0.08,0.61,0.29,32.41,21131
63,0.08,0.61,0.26,32.41,20599
63,0.09,0.62,0.44,32.36,18582
63,0.09,0.63,0.32,32.31,19981
63,0.09,0.63,0.39,32.31,15383
63,0.09,0.63,0.31,32.31,20151
63,0.09,0.63,0.59,32.31,11858
63,0.09,0.63,0.51,32.31,17799
63,0.09,0.63,0.4,32.31,19350
63,0.09,0.63,0.33,32.31,13426
63,0.19,0.5,0.74,31,9524
63,0.19,0.5,0.32,31,17565
63,0.08,0.61,0.07,32.41,21994
63,0.15,0.5,0.36,31.93,21240
63,0.15,0.5,0.35,31.93,18876
63,0.14,0.62,0.62,29.98,11612
63,0.17,0.56,0.36,30.49,14585
63,0.19,0.5,0.82,31,10794
63,0.08,0.61,0.36,32.41,14357
63,0.09,0.62,0.34,32.36,14397
63,0.19,0.5,0.23,31,15090
63,0.08,0.61,0.3,32.41,20451
63,0.19,0.5,0.3,31,11115
63,0.15,0.5,0.1,31.93,18920
63,0.19,0.5,0.7,31,17881
63,0.16,0.5,0.88,31.56,18750
63,0.14,0.62,0.17,29.98,17878
63,0.08,0.61,0.08,32.41,12014
63,0.19,0.5,0.29,31,14027
63,0.19,0.5,0.52,31,16598
63,0.19,0.5,0.65,31,9995
63,0.19,0.5,0.29,31,1349
63,0.19,0.5,0.89,31,4909
63,0.19,0.5,0.75,31,9752
63,0.19,0.5,0.6,31,11237
63,0.19,0.5,0.53,31,6583
63,0.15,0.5,0.32,31.93,11345
63,0.19,0.52,0.4,31.52,7358
63,0.18,0.47,0.54,29.71,6374
63,0.18,0.47,0.48,29.71,8096
54,0.18,0.47,0.29,29.71,7533
54,0.18,0.47,0.93,29.71,4296
63,0.18,0.47,0.85,29.71,4290
63,0.18,0.47,0.52,29.71,4785
63,0.14,0.62,1.15,29.98,4206
63,0.14,0.62,0.55,29.98,2947
