ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,CVEGEO,luces,ndvi,zurbana,Datos,AREA,DENSIDAD,POBTOT,TOTHOG,VIVTOT,TVIVHAB,TEMPERATURA
15,México,6,Almoloya del Río,1,Total AGEB urbana,68,1.50E+12,46,0.284282325,0.232698033,1,0.39506799,1718.691511,679,148,170,150,28.0292
15,México,9,Amecameca,1,Total AGEB urbana,36,1.50E+12,44,0.308425151,0.261530119,1,1.311245697,4237.19217,5556,1442,1744,1461,25.7704
15,México,9,Amecameca,1,Total AGEB urbana,40,1.50E+12,44.28571429,0.308425151,0.261530119,1,1.341838393,5660.890342,7596,1726,1906,1734,25.7704
15,México,9,Amecameca,1,Total AGEB urbana,006A,150090001006A,48,0.297338527,0.281192552,1,1.232771756,4850.857406,5980,1383,1533,1397,26.02586667
15,México,9,Amecameca,1,Total AGEB urbana,93,1.50E+12,36,0.308425151,0.261530119,1,0.536968269,4113.837126,2209,525,571,532,25.7704
15,México,9,Amecameca,1,Total AGEB urbana,125,1.50E+12,48,0.241905404,0.379504716,1,0.263113723,3192.535874,840,180,224,183,27.3032
15,México,9,Amecameca,1,Total AGEB urbana,144,1.50E+12,48,0.308425151,0.261530119,1,0.75802946,5342.800268,4050,1013,1149,1021,25.7704
15,México,9,Amecameca,1,Total AGEB urbana,159,1.50E+12,48,0.286251902,0.300854985,1,1.148877306,4348.593165,4996,1073,1248,1098,26.28133333
15,México,9,Amecameca,1,Total AGEB urbana,267,1.50E+12,36,0.308425151,0.261530119,1,0.484485954,928.8194958,450,112,152,113,25.7704
15,México,9,Amecameca,6,Total AGEB urbana,106,1.50E+12,22,0.38541227,0.208786511,1,0.563574869,4464.358042,2516,556,602,556,22.2762
15,México,9,Amecameca,6,Total AGEB urbana,110,1.50E+12,22,0.38541227,0.208786511,1,0.443671223,4767.043452,2115,450,495,451,22.2762
15,México,10,Apaxco,1,Total AGEB urbana,015A,150100001015A,57,0.260209941,0.135969986,1,0.399575494,1318.899702,527,130,159,130,29.88986667
15,México,10,Apaxco,1,Total AGEB urbana,198,1.50E+12,57,0.267023551,0.142251839,1,0.593711009,3601.078583,2138,512,610,513,29.7292
15,México,10,Apaxco,1,Total AGEB urbana,200,1.50E+12,57,0.246582722,0.123406279,1,0.400730972,6610.419919,2649,623,701,623,30.2112
15,México,10,Apaxco,1,Total AGEB urbana,253,1.50E+12,57,0.256730424,0.123274109,1,0.668369114,291.7549538,195,43,48,43,29.3657
15,México,10,Apaxco,7,Total AGEB urbana,183,1.50E+12,38.63636364,0.246437297,0.104296378,1,2.368045019,1582.317891,3747,864,950,864,29.0022
15,México,11,Atenco,1,Total AGEB urbana,53,1.50E+12,61,0.193028686,0.520096729,1,0.465380045,8764.879466,4079,768,848,790,31.4384
15,México,11,Atenco,1,Total AGEB urbana,68,1.50E+12,61,0.220030852,0.392899816,1,1.221523029,5480.862693,6695,1364,1517,1399,31.16813333
15,México,11,Atenco,1,Total AGEB urbana,123,1.50E+12,62,0.193028686,0.520096729,1,0.58402744,3421.072136,1998,435,488,457,31.4384
15,México,11,Atenco,1,Total AGEB urbana,138,1.50E+12,61,0.193028686,0.520096729,1,0.284880236,3636.61591,1036,223,247,225,31.4384
15,México,11,Atenco,1,Total AGEB urbana,176,1.50E+12,61,0.193028686,0.520096729,1,0.492777617,1637.655553,807,183,212,187,31.4384
15,México,11,Atenco,1,Total AGEB urbana,180,1.50E+12,62,0.193028686,0.520096729,1,0.175350832,3022.51204,530,124,130,126,31.4384
