ENTIDAD,MUN,LOC,AGEB, LUCES , NDVI , ZURBANA , AREA , DENSIDAD , TEMPERATURA ,POBTOT,TOTHOG,VIVTOT,TVIVHAB
15,29,1,62, 63.00 , 0.19 , 0.52 , 0.63 ," 3,377.86 ", 31.52 ,2115,565,1068,565
15,29,1,81, 63.00 , 0.17 , 0.56 , 0.64 ," 13,284.46 ", 30.49 ,8564,2102,2309,2122
15,29,1,113, 54.00 , 0.19 , 0.52 , 0.15 ," 12,360.79 ", 31.52 ,1822,462,544,464
15,29,1,128, 63.00 , 0.19 , 0.52 , 0.33 ," 22,038.20 ", 31.52 ,7327,1734,1908,1734
15,29,1,147, 63.00 , 0.19 , 0.52 , 0.15 ," 17,076.57 ", 31.52 ,2515,668,739,671
15,29,1,166, 63.00 , 0.19 , 0.52 , 1.23 ," 6,377.05 ", 31.52 ,7834,1941,2162,1951
15,29,1,170, 63.00 , 0.19 , 0.52 , 1.13 ," 7,335.13 ", 31.52 ,8320,1982,2210,1991
15,29,1,185, 63.00 , 0.19 , 0.52 , 0.56 ," 14,433.50 ", 31.52 ,8137,1856,2115,1890
15,29,1,019A, 63.00 , 0.19 , 0.50 , 0.38 ," 14,765.98 ", 31.00 ,5684,1376,1479,1390
15,29,1,217, 63.00 , 0.14 , 0.62 , 0.27 ," 22,234.86 ", 29.98 ,5946,1386,1480,1415
15,29,1,221, 63.00 , 0.14 , 0.62 , 0.41 ," 13,474.82 ", 29.98 ,5576,1338,1455,1340
15,29,1,289, 62.00 , 0.22 , 0.47 , 1.06 ," 17,606.89 ", 31.32 ,18711,5113,8180,5150
15,29,1,293, 54.00 , 0.21 , 0.48 , 0.60 ," 17,012.37 ", 31.35 ,10192,2626,3983,2665
15,29,1,306, 54.00 , 0.19 , 0.52 , 0.89 ," 9,681.64 ", 31.52 ,8621,2115,2874,2140
15,29,1,310, 58.00 , 0.19 , 0.52 , 0.83 ," 7,169.65 ", 31.52 ,5980,1357,1547,1383
15,29,1,325, 54.00 , 0.19 , 0.52 , 0.46 ," 18,657.00 ", 31.52 ,8572,2286,3686,2313
15,29,1,033A, 54.00 , 0.19 , 0.52 , 0.21 ," 19,601.08 ", 31.52 ,4085,1089,1656,1104
15,29,1,359, 54.00 , 0.23 , 0.45 , 0.32 ," 19,302.16 ", 31.18 ,6197,1660,2581,1677
15,29,1,363, 54.00 , 0.23 , 0.45 , 0.62 ," 15,839.18 ", 31.18 ,9881,2610,4188,2618
15,29,1,378, 63.00 , 0.19 , 0.52 , 1.22 ," 3,441.43 ", 31.52 ,4207,1131,1863,1144
15,29,1,522, 54.00 , 0.23 , 0.45 , 0.24 ," 19,699.09 ", 31.18 ,4728,1238,2099,1247
15,30,1,003A, 61.25 , 0.19 , 0.52 , 0.91 ," 6,332.54 ", 31.44 ,5793,1111,1180,1124
15,30,1,44, 61.50 , 0.19 , 0.52 , 1.37 ," 3,430.76 ", 31.44 ,4691,967,1136,1003
15,30,1,78, 61.00 , 0.19 , 0.52 , 0.83 ," 7,033.75 ", 31.44 ,5810,1180,1324,1209
15,30,1,82, 61.50 , 0.21 , 0.45 , 0.82 ," 4,332.26 ", 31.23 ,3539,706,793,737
15,30,1,97, 61.00 , 0.27 , 0.16 , 0.89 ," 1,913.63 ", 30.39 ,1709,359,389,373
15,30,1,010A, 62.00 , 0.19 , 0.52 , 0.40 , 485.87 , 31.44 ,196,42,45,42
15,31,1,37, 63.00 , 0.19 , 0.50 , 0.33 ," 10,991.70 ", 31.00 ,3637,815,913,827
15,31,1,41, 63.00 , 0.19 , 0.50 , 0.59 ," 7,421.83 ", 31.00 ,4385,1018,1113,1027
15,31,1,008A, 63.00 , 0.08 , 0.61 , 0.48 ," 21,589.65 ", 32.41 ,10446,2579,2754,2607
15,31,1,94, 63.00 , 0.08 , 0.61 , 0.44 ," 21,946.35 ", 32.41 ,9573,2390,2539,2411
15,31,1,107, 63.00 , 0.08 , 0.61 , 0.38 ," 19,728.02 ", 32.41 ,7543,1881,2020,1897
15,31,1,111, 63.00 , 0.08 , 0.61 , 0.69 ," 17,321.67 ", 32.41 ,11949,3090,3281,3115
15,31,1,126, 63.00 , 0.08 , 0.61 , 0.68 ," 17,179.97 ", 32.41 ,11734,2922,3186,2958
15,31,1,145, 63.00 , 0.19 , 0.50 , 0.50 ," 9,850.61 ", 31.00 ,4885,1117,1234,1121
15,31,1,015A, 63.00 , 0.19 , 0.50 , 0.99 ," 12,240.68 ", 31.00 ,12089,2678,2951,2723
15,31,1,179, 63.00 , 0.10 , 0.59 , 1.18 ," 12,083.23 ", 32.18 ,14302,3249,3527,3256
15,31,1,183, 63.00 , 0.08 , 0.61 , 0.58 ," 17,322.92 ", 32.41 ,10051,2367,2533,2392
15,31,1,198, 63.00 , 0.08 , 0.61 , 0.78 ," 16,905.48 ", 32.41 ,13252,3062,3299,3085
15,31,1,304, 63.00 , 0.08 , 0.61 , 0.16 ," 18,377.17 ", 32.41 ,2873,739,799,743
15,31,1,319, 63.00 , 0.08 , 0.61 , 0.22 ," 22,760.76 ", 32.41 ,4951,1245,1320,1250
15,31,1,323, 63.00 , 0.15 , 0.50 , 0.35 ," 21,333.43 ", 31.93 ,7538,1890,2053,1925
15,31,1,338, 63.00 , 0.19 , 0.50 , 0.22 ," 20,875.60 ", 31.00 ,4641,1149,1214,1152
15,31,1,361, 63.00 , 0.15 , 0.50 , 0.32 ," 17,024.76 ", 31.93 ,5383,1288,1411,1311
15,31,1,376, 63.00 , 0.15 , 0.50 , 0.30 ," 20,924.47 ", 31.93 ,6378,1492,1633,1530
15,31,1,380, 63.00 , 0.15 , 0.50 , 0.39 ," 21,677.91 ", 31.93 ,8493,2066,2161,2074
15,31,1,395, 63.00 , 0.17 , 0.50 , 0.35 ," 19,941.96 ", 31.46 ,6908,1686,1796,1697
15,31,1,412, 63.00 , 0.19 , 0.50 , 0.47 ," 21,514.60 ", 31.00 ,10050,2583,2734,2594
15,31,1,499, 63.00 , 0.08 , 0.61 , 0.52 ," 21,595.68 ", 32.41 ,11319,2867,3045,2870
15,31,1,516, 63.00 , 0.19 , 0.50 , 0.36 ," 13,197.91 ", 31.00 ,4756,1165,1275,1167
15,31,1,520, 63.00 , 0.12 , 0.58 , 0.61 ," 11,112.44 ", 31.94 ,6834,1593,1721,1605
15,31,1,535, 63.00 , 0.08 , 0.61 , 0.27 ," 21,044.83 ", 32.41 ,5780,1492,1587,1528
15,31,1,554, 63.00 , 0.08 , 0.61 , 0.39 ," 16,833.60 ", 32.41 ,6548,1670,1800,1697
15,31,1,569, 63.00 , 0.08 , 0.61 , 0.25 ," 22,247.87 ", 32.41 ,5588,1353,1431,1357
